Al,Co,Cr,Cu,Fe,Mg,Mn,Ni,Si,Ti,V,Zn,YS,UTS,Elongation
91.82228816,0,5.88E-10,0.932326699,0.000167249,3.435106275,8.61E-05,7.70E-05,1.21E-05,0.000620246,0.002611341,3.829716216,113.7076605,206.2245251,375.0892464
91.82343357,0,1.11E-07,0.93350458,0.000169263,3.138723125,1.28E-05,0.000313491,0.000473555,0.003645637,0.002727787,3.829729232,104.118094,196.6349586,384.6788129
91.8238775,0,3.57E-12,0.932312919,0.005293754,3.380213851,6.11E-06,0.005559134,0.000486355,0.004864041,0.00261519,3.829716543,115.1767792,207.6936438,373.6201277
91.95566352,0,0.111918039,0.833369709,4.00E-08,0.845154911,0,1.30E-10,5.16E-06,0.000258267,0.006920672,3.82931262,10269.38306,10317.52873,-1164.723786
91.95613303,0,4.44E-11,0.932653643,0.005220577,3.299819941,0,0.005720781,0.000216007,0.004707126,0.002609124,3.828525754,114.3813399,206.8982045,374.415567
91.95613303,0,3.46E-08,0.932310741,0.005220577,3.299819941,0,0.001953975,0.000215975,0.001055664,0.002609124,3.828525754,112.0634251,204.5802897,376.7334818
92.14018398,0,0.093395363,0.824952153,0.003364985,0.89808476,0,2.22E-07,4.09E-07,0.002396936,0.003986801,3.814289617,1100.508168,1094.456664,-112.0027471
92.60408321,0,0.072923294,0.913147113,0.002210504,0.837526683,2.08E-06,1.90E-08,4.56E-06,0.003112644,0.009798321,3.67353094,46165.65204,46440.63561,-5286.903315
92.7644627,0,0.087683397,0.862935686,0.000326642,0.859602975,0.001820067,3.46E-07,1.19E-06,0.002944674,0.00889162,3.808762304,1445.339702,1440.580345,-152.1525713
92.97138429,0,0.081274283,0.661685598,0.009051747,0.825221246,0.001528693,7.31E-07,2.14E-07,0.002710434,0.007573472,3.534343134,18612.27033,18713.00458,-2123.160144
93.35411541,0,0.088710844,0.917270835,0.011234067,0.838281052,5.15E-08,6.87E-08,1.74E-06,0.000147993,0.009388446,3.829727725,40169.22716,40406.26883,-4599.198239
93.38941757,0,0.092279633,0.914945001,0.018620228,0.695092188,7.45E-07,7.91E-07,2.86E-07,0.001694094,0.018217207,3.816165513,302417.5956,304314.2741,-34711.07471
93.64620681,0,0.087325176,0.818848987,0.006230576,0.859349446,7.34E-08,9.42E-06,9.00E-08,0,0.008923476,3.697936697,1199.260281,1193.424773,-124.6050507
93.71041783,0,0.087325176,0.993678771,3.39E-08,0.884913962,4.04E-09,6.44E-08,1.54E-06,0.001546779,0.002092618,3.798418149,12694.1145,12757.50656,-1444.817582
93.72883368,0,0.006645767,0.57235021,0.007539828,1.22537474,0.00525047,6.70E-07,7.46E-09,0.000590382,0.013257583,3.684693815,1263.406395,1257.670549,-132.0498852
93.76756011,0,0,0.910468453,0.019957992,1.175907555,0.000452497,0,7.88E-09,0.001308416,0.007650889,3.829728013,23964.82177,24099.36396,-2739.162552
93.92215965,0,0,0.913492708,1.99E-09,1.314997062,9.75E-07,0,2.97E-05,0.001621211,0.001300331,3.829727584,11553.5368,11609.72798,-1314.30723
93.93859419,0,0,0.913492708,1.99E-09,1.314997062,9.75E-07,0,2.97E-05,0.001938678,0.001300331,3.829727584,11553.5534,11609.74458,-1314.323824
93.94603816,0,0.000285237,0.896194785,1.07E-06,1.337921315,2.75E-05,0.000161802,7.19E-06,5.04E-05,0.003334745,3.81564919,3056.978279,3060.474441,-338.6858004
93.98268994,0,6.55E-09,0.979082692,0.00021891,1.143462325,0,0,3.30E-07,0.004936095,0.000491455,3.608602283,12460.86173,12522.75432,-1418.267273
94.0387439,0,0.000257992,0.837845597,0.002454025,1.294934273,2.47E-05,0,8.76E-07,0.001367603,0.000835234,3.823451783,1158.884079,1152.768102,-120.6728162
94.03945349,0,0.087229366,1.181203868,5.00E-07,0.859673691,7.61E-06,0.002971542,7.25E-07,0.000212593,0.000359963,3.828754128,1217.278266,1211.457373,-127.3445337
94.0395237,0,0.087229366,1.081649596,5.00E-07,0.859673691,7.61E-06,0.002971542,7.16E-07,0.000212593,0.000359963,3.8287731,1217.183093,1211.3622,-127.2493605
94.04589743,0,1.06E-07,0.893263802,0.000415251,1.229256136,0.000335903,0,0,5.76E-07,0.00920463,3.7048222,1274.19098,1268.475019,-133.7571742
94.04589743,0,1.06E-07,0.893263802,0.000415251,1.229256136,0.000335903,0,0,0.000775177,0.00920463,3.820653943,1274.30304,1268.58708,-133.8692346
94.04805483,0,0.087325176,0.993678771,0.00064986,0.884913962,6.98E-09,6.44E-08,1.54E-06,0.001546779,0.002092618,3.798149018,12694.45315,12757.84521,-1445.156236
94.05156053,0,1.75E-08,0.944064976,2.06E-06,1.22537474,0.005773109,0,1.91E-05,0.001397723,0.000934556,3.761546816,28383.55317,28546.03826,-3246.784831
94.05837623,0,0,0.906520554,0.019957992,1.175907555,0.000452497,0,7.88E-09,0.001308416,0.007650889,3.829728013,23965.10933,24099.65152,-2739.450118
94.1234091,0,6.30E-05,0.778163461,0.000144224,1.298521368,0.000493891,0,7.64E-07,0.003483367,0.000341265,3.795283707,1313.181392,1307.531008,-138.4353914
94.14954368,0,0.068260734,1.085451113,0,0.86128702,0.001080757,6.67E-07,9.89E-08,0.003634882,0.0026565,3.82910732,1472.275775,1467.360484,-156.660595
94.1704621,0,0.000428858,0.762243917,0.001262678,1.230222072,0.012185661,9.17E-05,1.02E-06,0.001471649,0,3.821539656,1114.586305,1108.654222,-115.6290816
